place1,relation,place2,triplet,question,options,answer,option_sources
Crompton,borders,Royton North,Crompton is borders Royton North,Which city borders Royton North?,"A. Davyhulme West
B. Crompton
C. Bowdon",B. Crompton,"hard,correct,random"
Wakefield Rural,borders,Darton East,Wakefield Rural is borders Darton East,Which city borders Darton East?,"A. Swinton North
B. Wakefield Rural
C. Acocks Green",B. Wakefield Rural,"random,correct,hard"
Farnley and Wortley,borders,Tong,Farnley and Wortley is borders Tong,Which city borders Tong?,"A. Sutton Trinity
B. Cleckheaton
C. Farnley and Wortley",C. Farnley and Wortley,"random,hard,correct"
Birkenhead and Tranmere,borders,Prenton,Birkenhead and Tranmere is borders Prenton,Which city borders Prenton?,"A. Birkenhead and Tranmere
B. Rock Ferry
C. St. Alphege",A. Birkenhead and Tranmere,"correct,hard,random"
Moorside,borders,Norden,Moorside is borders Norden,Which city borders Norden?,"A. Moorside
B. Billesley
C. Shiregreen & Brightside",A. Moorside,"correct,hard,random"
Pontefract South,borders,Ackworth North Elmsall and Upton,Pontefract South is borders Ackworth North Elmsall and Upton,Which city borders Ackworth North Elmsall and Upton?,"A. Washwood Heath
B. Norton & Askern
C. Pontefract South",C. Pontefract South,"random,hard,correct"
Hoober,borders,Rockingham,Hoober is borders Rockingham,Which city borders Rockingham?,"A. Langley
B. Short Heath
C. Hoober",C. Hoober,"random,hard,correct"
Liversedge and Gomersal,borders,Dalton,Liversedge and Gomersal is borders Dalton,Which city borders Dalton?,"A. Rowley
B. Holyrood
C. Liversedge and Gomersal",C. Liversedge and Gomersal,"random,hard,correct"
Ossett,borders,Batley East,Ossett is borders Batley East,Which city borders Batley East?,"A. Colne Valley
B. Ardsley and Robin Hood
C. Ossett",C. Ossett,"random,hard,correct"
Aldridge North and Walsall Wood,borders,Aldridge Central and South,Aldridge North and Walsall Wood is borders Aldridge Central and South,Which city borders Aldridge Central and South?,"A. Kirkdale
B. Shiregreen & Brightside
C. Aldridge North and Walsall Wood",C. Aldridge North and Walsall Wood,"hard,random,correct"
Dodworth,borders,Old Town,Dodworth is borders Old Town,Which city borders Old Town?,"A. Boldon Colliery
B. Dodworth
C. Little Horton",B. Dodworth,"random,correct,hard"
Willenhall South,borders,Bilston North,Willenhall South is borders Bilston North,Which city borders Bilston North?,"A. Willenhall South
B. Timperley
C. St. Alphege",A. Willenhall South,"correct,random,hard"
Great Horton,borders,City,Great Horton is borders City,Which city borders City?,"A. Wardle and West Littleborough
B. Orgreave South Yorkshire
C. Great Horton",C. Great Horton,"random,hard,correct"
Bold St Helens,borders,Rainhill,Bold St Helens is borders Rainhill,Which city borders Rainhill?,"A. Bold St Helens
B. Crookes & Crosspool
C. Wales South Yorkshire",A. Bold St Helens,"correct,random,hard"
Moss Bank,borders,Rainford,Moss Bank is borders Rainford,Which city borders Rainford?,"A. Barton
B. Moss Bank
C. Bidston and St. James",B. Moss Bank,"hard,correct,random"
Pilkington Park,borders,Radcliffe East,Pilkington Park is borders Radcliffe East,Which city borders Radcliffe East?,"A. Orgreave South Yorkshire
B. Pilkington Park
C. Nether Edge & Sharrow",B. Pilkington Park,"random,correct,hard"
Calverley and Farsley,borders,Bradford Moor,Calverley and Farsley is borders Bradford Moor,Which city borders Bradford Moor?,"A. Baguley
B. Bowling and Barkerend
C. Calverley and Farsley",C. Calverley and Farsley,"random,hard,correct"
Ryburn,borders,Milnrow and Newhey,Ryburn is borders Milnrow and Newhey,Which city borders Milnrow and Newhey?,"A. Ryburn
B. Harewood
C. Felling",A. Ryburn,"correct,hard,random"
Wordsley,borders,Wollaston and Stourbridge Town,Wordsley is borders Wollaston and Stourbridge Town,Which city borders Wollaston and Stourbridge Town?,"A. Dewsbury South
B. Doxey
C. Wordsley",C. Wordsley,"random,hard,correct"
Atherleigh,borders,Leigh West,Atherleigh is borders Leigh West,Which city borders Leigh West?,"A. Luddendenfoot
B. Atherleigh
C. Leigh South",B. Atherleigh,"random,correct,hard"
Walkergate,borders,Walker,Walkergate is borders Walker,Which city borders Walker?,"A. High Fell
B. Old Town
C. Walkergate",C. Walkergate,"hard,random,correct"
Molyneux,borders,Shevington,Molyneux is borders Shevington,Which city borders Shevington?,"A. Hodge Hill
B. Molyneux
C. City and Hunslet",B. Molyneux,"random,correct,hard"
Tividale,borders,Oldbury,Tividale is borders Oldbury,Which city borders Oldbury?,"A. Northenden
B. Birkenhead and Tranmere
C. Tividale",C. Tividale,"random,hard,correct"
Bredbury and Woodley,borders,Denton South,Bredbury and Woodley is borders Denton South,Which city borders Denton South?,"A. Bramley and Stanningley
B. Denton West
C. Bredbury and Woodley",C. Bredbury and Woodley,"random,hard,correct"
Ashton,borders,Abram,Ashton is borders Abram,Which city borders Abram?,"A. Sutton Vesey
B. Bryn
C. Ashton",C. Ashton,"random,hard,correct"
Bredbury Green and Romiley,borders,Manor,Bredbury Green and Romiley is borders Manor,Which city borders Manor?,"A. Blundellsands
B. Bredbury Green and Romiley
C. Foleshill",B. Bredbury Green and Romiley,"hard,correct,random"
Royton North,borders,Crompton,Royton North is borders Crompton,Which city borders Crompton?,"A. Tonge with the Haulgh
B. Royton North
C. Edgbaston",B. Royton North,"hard,correct,random"
West Kirby and Thurstaston,borders,Heswall,West Kirby and Thurstaston is borders Heswall,Which city borders Heswall?,"A. Calder
B. Didsbury West
C. West Kirby and Thurstaston",C. West Kirby and Thurstaston,"random,hard,correct"
Astley Village,borders,Crompton,Astley Village is borders Crompton,Which city borders Crompton?,"A. Royton North
B. Luddendenfoot
C. Astley Village",C. Astley Village,"hard,random,correct"
Ilkley,borders,Bingley,Ilkley is borders Bingley,Which city borders Bingley?,"A. Alwoodley
B. Brighouse
C. Ilkley",C. Ilkley,"hard,random,correct"
Ashton Hurst,borders,Mossley,Ashton Hurst is borders Mossley,Which city borders Mossley?,"A. Radford
B. Ashton Hurst
C. St. Alphege",B. Ashton Hurst,"random,correct,hard"
Willenhall North,borders,Bloxwich West,Willenhall North is borders Bloxwich West,Which city borders Bloxwich West?,"A. Merry Hill
B. Hoylake and Meols
C. Willenhall North",C. Willenhall North,"random,hard,correct"
Orgreave South Yorkshire,borders,Shiregreen & Brightside,Orgreave South Yorkshire is borders Shiregreen & Brightside,Which city borders Shiregreen & Brightside?,"A. Old Warley
B. Bredbury Green and Romiley
C. Orgreave South Yorkshire",C. Orgreave South Yorkshire,"hard,random,correct"
Sutton Vesey,borders,Sutton Trinity,Sutton Vesey is borders Sutton Trinity,Which city borders Sutton Trinity?,"A. Sutton New Hall
B. Handsworth Wood
C. Sutton Vesey",C. Sutton Vesey,"hard,random,correct"
Chorlton Park,borders,Didsbury West,Chorlton Park is borders Didsbury West,Which city borders Didsbury West?,"A. Bredbury and Woodley
B. Chorlton Park
C. Didsbury East",B. Chorlton Park,"random,correct,hard"
Wollaston and Stourbridge Town,borders,Amblecote,Wollaston and Stourbridge Town is borders Amblecote,Which city borders Amblecote?,"A. Moseley and Kings Heath
B. Quarry Bank and Dudley Wood
C. Wollaston and Stourbridge Town",C. Wollaston and Stourbridge Town,"random,hard,correct"
Stepping Hill,borders,Offerton Park,Stepping Hill is borders Offerton Park,Which city borders Offerton Park?,"A. Stepping Hill
B. Colne Valley
C. Swinton",A. Stepping Hill,"correct,random,hard"
Chadderton South,borders,Moston,Chadderton South is borders Moston,Which city borders Moston?,"A. Chadderton South
B. West Park
C. Swinton",A. Chadderton South,"correct,hard,random"
West Park,borders,Biddick and All Saints,West Park is borders Biddick and All Saints,Which city borders Biddick and All Saints?,"A. Heatons South
B. West Park
C. Liscard",B. West Park,"hard,correct,random"
Moseley and Kings Heath,borders,Brandwood,Moseley and Kings Heath is borders Brandwood,Which city borders Brandwood?,"A. Moseley and Kings Heath
B. Kings Norton
C. Roby",A. Moseley and Kings Heath,"correct,hard,random"
St. Michaels,borders,Prescot South,St. Michaels is borders Prescot South,Which city borders Prescot South?,"A. Reddish North
B. St. Michaels
C. Hateley Heath",B. St. Michaels,"random,correct,hard"
Broomhill & Sharrow Vale,borders,City,Broomhill & Sharrow Vale is borders City,Which city borders City?,"A. Chadderton Central
B. Great Horton
C. Broomhill & Sharrow Vale",C. Broomhill & Sharrow Vale,"random,hard,correct"
Valley,borders,Collingwood,Valley is borders Collingwood,Which city borders Collingwood?,"A. Chirton
B. Adel and Wharfedale
C. Valley",C. Valley,"hard,random,correct"
Princes End,borders,Wednesbury North,Princes End is borders Wednesbury North,Which city borders Wednesbury North?,"A. Balby South
B. Princes End
C. Darlaston South",B. Princes End,"random,correct,hard"
Boothstown and Ellenbrook,borders,Irlam,Boothstown and Ellenbrook is borders Irlam,Which city borders Irlam?,"A. Boothstown and Ellenbrook
B. Marple North
C. Cadishead",A. Boothstown and Ellenbrook,"correct,random,hard"
Birtley,borders,Washington South,Birtley is borders Washington South,Which city borders Washington South?,"A. Ashton
B. Birtley
C. Bowdon",B. Birtley,"hard,correct,random"
Kingshurst and Fordbridge,borders,Shard End,Kingshurst and Fordbridge is borders Shard End,Which city borders Shard End?,"A. Eccleston St Helens
B. Kingshurst and Fordbridge
C. Sheldon",B. Kingshurst and Fordbridge,"random,correct,hard"
Ince,borders,Worsley Mesnes,Ince is borders Worsley Mesnes,Which city borders Worsley Mesnes?,"A. Liversedge and Gomersal
B. Ince
C. Bordesley Green",B. Ince,"random,correct,hard"
Victoria,borders,Manor,Victoria is borders Manor,Which city borders Manor?,"A. Bredbury Green and Romiley
B. Victoria
C. Ashton St. Michael's",B. Victoria,"hard,correct,random"
Harton,borders,West Park,Harton is borders West Park,Which city borders West Park?,"A. Ryton Crookhill and Stella
B. Harton
C. County Borough of Leeds",B. Harton,"random,correct,hard"
Saltwell,borders,Deckham,Saltwell is borders Deckham,Which city borders Deckham?,"A. Bramhall North
B. Saltwell
C. Fenham",B. Saltwell,"hard,correct,random"
Woodhouse Park,borders,Hale Barns,Woodhouse Park is borders Hale Barns,Which city borders Hale Barns?,"A. Bingley
B. Woodhouse Park
C. Bingley Rural",B. Woodhouse Park,"hard,correct,random"
Kearsley,borders,Little Lever and Darcy Lever,Kearsley is borders Little Lever and Darcy Lever,Which city borders Little Lever and Darcy Lever?,"A. Anston and Woodsetts
B. Kearsley
C. Page Moss",B. Kearsley,"random,correct,hard"
Crofton Ryhill and Walton,borders,Wakefield Rural,Crofton Ryhill and Walton is borders Wakefield Rural,Which city borders Wakefield Rural?,"A. Thorne & Moorends
B. Crofton Ryhill and Walton
C. South Heaton",B. Crofton Ryhill and Walton,"hard,correct,random"
Eccleshill,borders,Calverley and Farsley,Eccleshill is borders Calverley and Farsley,Which city borders Calverley and Farsley?,"A. Wakefield East
B. Meols
C. Eccleshill",C. Eccleshill,"random,hard,correct"
Ardwick,borders,Rusholme,Ardwick is borders Rusholme,Which city borders Rusholme?,"A. Ardwick
B. Selly Oak
C. Denton South",A. Ardwick,"correct,random,hard"
Longdendale,borders,Hyde Godley,Longdendale is borders Hyde Godley,Which city borders Hyde Godley?,"A. Longdendale
B. Hyde Newton
C. Atherton",A. Longdendale,"correct,hard,random"
Pelsall,borders,Rushall-Shelfield,Pelsall is borders Rushall-Shelfield,Which city borders Rushall-Shelfield?,"A. Manningham
B. Pelsall
C. Aldridge North and Walsall Wood",B. Pelsall,"random,correct,hard"
Graves Park,borders,Nether Edge & Sharrow,Graves Park is borders Nether Edge & Sharrow,Which city borders Nether Edge & Sharrow?,"A. City
B. Graves Park
C. Wombwell",B. Graves Park,"hard,correct,random"
Hateley Heath,borders,Charlemont with Grove Vale,Hateley Heath is borders Charlemont with Grove Vale,Which city borders Charlemont with Grove Vale?,"A. Moortown
B. Hateley Heath
C. Valley",B. Hateley Heath,"random,correct,hard"
Chirton,borders,Collingwood,Chirton is borders Collingwood,Which city borders Collingwood?,"A. Monkseaton South
B. Chirton
C. Newburn",B. Chirton,"hard,correct,random"
Pontefract North,borders,Altofts and Whitwood,Pontefract North is borders Altofts and Whitwood,Which city borders Altofts and Whitwood?,"A. Blaydon
B. Pontefract North
C. Featherstone",B. Pontefract North,"random,correct,hard"
Bartley Green,borders,Selly Oak,Bartley Green is borders Selly Oak,Which city borders Selly Oak?,"A. Battle Hill
B. Moseley and Kings Heath
C. Bartley Green",C. Bartley Green,"random,hard,correct"
Collingwood,borders,Cullercoats,Collingwood is borders Cullercoats,Which city borders Cullercoats?,"A. Boldon Colliery
B. Collingwood
C. Preston",B. Collingwood,"random,correct,hard"
Broomhill & Sharrow Vale,borders,Crookes & Crosspool,Broomhill & Sharrow Vale is borders Crookes & Crosspool,Which city borders Crookes & Crosspool?,"A. Stainforth & Barnby Dun
B. Broomhill & Sharrow Vale
C. Streetly",B. Broomhill & Sharrow Vale,"hard,correct,random"
St. Mary's,borders,Kersal,St. Mary's is borders Kersal,Which city borders Kersal?,"A. Lowton East
B. St. Mary's
C. Clayton and Fairweather Green",B. St. Mary's,"random,correct,hard"
Norden,borders,Moorside,Norden is borders Moorside,Which city borders Moorside?,"A. Church
B. West Park
C. Norden",C. Norden,"hard,random,correct"
Penistone East,borders,Denby Dale,Penistone East is borders Denby Dale,Which city borders Denby Dale?,"A. Kirkburton
B. Selly Oak
C. Penistone East",C. Penistone East,"hard,random,correct"
Brockmoor and Pensnett,borders,Netherton Woodside and St. Andrews,Brockmoor and Pensnett is borders Netherton Woodside and St. Andrews,Which city borders Netherton Woodside and St. Andrews?,"A. Castleton
B. Edgbaston
C. Brockmoor and Pensnett",C. Brockmoor and Pensnett,"hard,random,correct"
Stalybridge North,borders,Dukinfield,Stalybridge North is borders Dukinfield,Which city borders Dukinfield?,"A. Stalybridge North
B. Southey
C. Dukinfield Stalybridge",A. Stalybridge North,"correct,random,hard"
Burnage,borders,Heatons South,Burnage is borders Heatons South,Which city borders Heatons South?,"A. Normanton West Yorkshire
B. Burnage
C. Swinton North",B. Burnage,"hard,correct,random"
Bolton and Undercliffe,borders,Windhill and Wrose,Bolton and Undercliffe is borders Windhill and Wrose,Which city borders Windhill and Wrose?,"A. Idle and Thackley
B. Bolton and Undercliffe
C. Moortown",B. Bolton and Undercliffe,"hard,correct,random"
Orrell,borders,Pemberton,Orrell is borders Pemberton,Which city borders Pemberton?,"A. Clayton and Fairweather Green
B. Orrell
C. Douglas",B. Orrell,"random,correct,hard"
Saddleworth North,borders,St. James',Saddleworth North is borders St. James',Which city borders St. James'?,"A. Tyburn
B. Saddleworth North
C. Tividale",B. Saddleworth North,"hard,correct,random"
Wallsend,borders,Battle Hill,Wallsend is borders Battle Hill,Which city borders Battle Hill?,"A. Collingwood
B. Wakefield Rural
C. Wallsend",C. Wallsend,"hard,random,correct"
Woodhouse Park,borders,Baguley,Woodhouse Park is borders Baguley,Which city borders Baguley?,"A. Bebington
B. Woodhouse Park
C. Calverley and Farsley",B. Woodhouse Park,"hard,correct,random"
Bilston North,borders,East Park,Bilston North is borders East Park,Which city borders East Park?,"A. Ettingshall
B. Collingwood
C. Bilston North",C. Bilston North,"hard,random,correct"
Stockland Green,borders,Tyburn,Stockland Green is borders Tyburn,Which city borders Tyburn?,"A. Stockland Green
B. Pudsey
C. Wales South Yorkshire",A. Stockland Green,"correct,random,hard"
Northenden,borders,Didsbury West,Northenden is borders Didsbury West,Which city borders Didsbury West?,"A. Chorlton Park
B. Mossley
C. Northenden",C. Northenden,"hard,random,correct"
Holme Valley North,borders,Newsome,Holme Valley North is borders Newsome,Which city borders Newsome?,"A. Almondbury
B. Hipperholme and Lightcliffe
C. Holme Valley North",C. Holme Valley North,"hard,random,correct"
Bridges,borders,Byker,Bridges is borders Byker,Which city borders Byker?,"A. Willenhall North
B. Rowley
C. Bridges",C. Bridges,"hard,random,correct"
Sedgley,borders,St. Mary's,Sedgley is borders St. Mary's,Which city borders St. Mary's?,"A. Edgeley and Cheadle Heath
B. Longdendale
C. Sedgley",C. Sedgley,"random,hard,correct"
