place1,dir,place2_Y,top,place2_Z,dis,place2_W,triplet,question,options,answer,option_sources
Kingswinford South,west,Paddock,within,West Midlands Euro Region,far,Roby,"Kingswinford South within West Midlands Euro Region, far to Roby, and west of Paddock",Which city is within West Midlands Euro Region and also far to Roby and west of Paddock?,"A. Kingswinford South
B. Binley and Willenhall
C. Wordsley",A. Kingswinford South,"correct,partial,random"
Stalybridge North,west,Hoyland Milton,within,Tameside,far,Sutton New Hall,"Stalybridge North within Tameside, far to Sutton New Hall, and west of Hoyland Milton",Which city is within Tameside and also far to Sutton New Hall and west of Hoyland Milton?,"A. Blackrod
B. Derby
C. Stalybridge North",C. Stalybridge North,"random,partial,correct"
Village,west,Beeston and Holbeck,within,Trafford,far,Wordsley,"Village within Trafford, far to Wordsley, and west of Beeston and Holbeck",Which city is within Trafford and also far to Wordsley and west of Beeston and Holbeck?,"A. Leigh East
B. Village
C. Worsley Mesnes",B. Village,"partial,correct,random"
Short Heath,west,Foleshill,within,West Midlands Euro Region,far,Worsley Mesnes,"Short Heath within West Midlands Euro Region, far to Worsley Mesnes, and west of Foleshill",Which city is within West Midlands Euro Region and also far to Worsley Mesnes and west of Foleshill?,"A. Short Heath
B. Boothstown and Ellenbrook
C. Radford",A. Short Heath,"correct,random,partial"
Farnley and Wortley,west,Finningley,within,County Borough of Leeds,far,Ravenmeols,"Farnley and Wortley within County Borough of Leeds, far to Ravenmeols, and west of Finningley",Which city is within County Borough of Leeds and also far to Ravenmeols and west of Finningley?,"A. Kersal
B. Crompton
C. Farnley and Wortley",C. Farnley and Wortley,"random,partial,correct"
Ince,west,Davenport and Cale Green,within,North West Euro Region,far,Shirley East,"Ince within North West Euro Region, far to Shirley East, and west of Davenport and Cale Green",Which city is within North West Euro Region and also far to Shirley East and west of Davenport and Cale Green?,"A. Ince
B. Bramley and Stanningley
C. Hopwood Hall",A. Ince,"correct,random,partial"
Chowdene,west,Castle Eden,borders,Low Fell,near,Low Fell,"Chowdene borders Low Fell, near to Low Fell, and west of Castle Eden",Which city borders Low Fell and is also near to Low Fell and west of Castle Eden?,"A. Meriden West Midlands
B. Chowdene
C. Birtley",B. Chowdene,"random,correct,partial"
Moorside,west,Wath,borders,North Manor,near,West Heywood,"Moorside borders North Manor, near to West Heywood, and west of Wath",Which city borders North Manor and is also near to West Heywood and west of Wath?,"A. Manor
B. Moorside
C. Handsworth Wood",B. Moorside,"partial,correct,random"
Davenport and Cale Green,west,Boston Castle,borders,Brinnington and Central,near,Manor,"Davenport and Cale Green borders Brinnington and Central, near to Manor, and west of Boston Castle",Which city borders Brinnington and Central and is also near to Manor and west of Boston Castle?,"A. Bramhall North
B. Kingsway
C. Davenport and Cale Green",C. Davenport and Cale Green,"partial,random,correct"
Rotherham East,west,Dinnington St. John's,borders,Valley,near,Wingfield,"Rotherham East borders Valley, near to Wingfield, and west of Dinnington St. John's",Which city borders Valley and is also near to Wingfield and west of Dinnington St. John's?,"A. Brinsworth and Catcliffe
B. Rotherham East
C. Walkden South",B. Rotherham East,"partial,correct,random"
Besses,west,Tong,borders,St. Mary's,near,Broughton,"Besses borders St. Mary's, near to Broughton, and west of Tong",Which city borders St. Mary's and is also near to Broughton and west of Tong?,"A. Radcliffe West
B. Besses
C. Pendlebury",B. Besses,"random,correct,partial"
Chorlton Park,west,Cleckheaton,borders,Whalley Range,near,Weaste and Seedley,"Chorlton Park borders Whalley Range, near to Weaste and Seedley, and west of Cleckheaton",Which city borders Whalley Range and is also near to Weaste and Seedley and west of Cleckheaton?,"A. Walkden North
B. Westhoughton
C. Chorlton Park",C. Chorlton Park,"partial,random,correct"
Altofts and Whitwood,west,Thorne & Moorends,borders,Castleford Central and Glasshoughton,near,Pontefract South,"Altofts and Whitwood borders Castleford Central and Glasshoughton, near to Pontefract South, and west of Thorne & Moorends",Which city borders Castleford Central and Glasshoughton and is also near to Pontefract South and west of Thorne & Moorends?,"A. Altofts and Whitwood
B. Old Warley
C. Featherstone",A. Altofts and Whitwood,"correct,random,partial"
Sutton New Hall,west,Whoberley,borders,Tyburn,near,Tyburn,"Sutton New Hall borders Tyburn, near to Tyburn, and west of Whoberley",Which city borders Tyburn and is also near to Tyburn and west of Whoberley?,"A. Chirton
B. South Yardley
C. Sutton New Hall",C. Sutton New Hall,"random,partial,correct"
Pontefract South,west,Hatfield,borders,Featherstone,near,South Elmsall and South Kirkby,"Pontefract South borders Featherstone, near to South Elmsall and South Kirkby, and west of Hatfield",Which city borders Featherstone and is also near to South Elmsall and South Kirkby and west of Hatfield?,"A. Pontefract South
B. Prescot
C. Town",A. Pontefract South,"correct,random,partial"
Bentley,west,Thorne & Moorends,borders,Stainforth & Barnby Dun,near,Tickhill & Wadsworth,"Bentley borders Stainforth & Barnby Dun, near to Tickhill & Wadsworth, and west of Thorne & Moorends",Which city borders Stainforth & Barnby Dun and is also near to Tickhill & Wadsworth and west of Thorne & Moorends?,"A. Silverwood
B. Rotherham West
C. Bentley",C. Bentley,"partial,random,correct"
Marple South,west,Conisbrough Parks,borders,Marple North,near,Offerton Park,"Marple South borders Marple North, near to Offerton Park, and west of Conisbrough Parks",Which city borders Marple North and is also near to Offerton Park and west of Conisbrough Parks?,"A. Marple South
B. Oldbury
C. Denton North East",A. Marple South,"correct,random,partial"
Milnrow and Newhey,west,Town,borders,Crompton,near,Waterhead,"Milnrow and Newhey borders Crompton, near to Waterhead, and west of Town",Which city borders Crompton and is also near to Waterhead and west of Town?,"A. Foleshill
B. Redvales
C. Milnrow and Newhey",C. Milnrow and Newhey,"random,partial,correct"
Hyde Newton,west,Royston,borders,Denton North East,near,Longdendale,"Hyde Newton borders Denton North East, near to Longdendale, and west of Royston",Which city borders Denton North East and is also near to Longdendale and west of Royston?,"A. St. Mary's
B. Preston
C. Hyde Newton",C. Hyde Newton,"partial,random,correct"
Hipperholme and Lightcliffe,west,Chapel Allerton,borders,Town,near,Town,"Hipperholme and Lightcliffe borders Town, near to Town, and west of Chapel Allerton",Which city borders Town and is also near to Town and west of Chapel Allerton?,"A. Hipperholme and Lightcliffe
B. Colne Valley
C. Elton",A. Hipperholme and Lightcliffe,"correct,partial,random"
Skircoat,west,Wakefield West,borders,Park,near,Warley,"Skircoat borders Park, near to Warley, and west of Wakefield West",Which city borders Park and is also near to Warley and west of Wakefield West?,"A. Skircoat
B. Ancoats and Clayton
C. Ovenden",A. Skircoat,"correct,random,partial"
Monkton,west,Boldon Colliery,borders,Fellgate and Hedworth,near,Redhill,"Monkton borders Fellgate and Hedworth, near to Redhill, and west of Boldon Colliery",Which city borders Fellgate and Hedworth and is also near to Redhill and west of Boldon Colliery?,"A. Monkton
B. Bede
C. Stretford",A. Monkton,"correct,partial,random"
Horwich and Blackrod,west,Royton North,borders,Aspull New Springs Whelley,near,Shevington with Lower Ground,"Horwich and Blackrod borders Aspull New Springs Whelley, near to Shevington with Lower Ground, and west of Royton North",Which city borders Aspull New Springs Whelley and is also near to Shevington with Lower Ground and west of Royton North?,"A. Standish with Langtree
B. Monkseaton South
C. Horwich and Blackrod",C. Horwich and Blackrod,"partial,random,correct"
Birkenhead and Tranmere,west,Heaton and Lostock,borders,Claughton,near,Kirkdale,"Birkenhead and Tranmere borders Claughton, near to Kirkdale, and west of Heaton and Lostock",Which city borders Claughton and is also near to Kirkdale and west of Heaton and Lostock?,"A. Everton
B. Birkenhead and Tranmere
C. Northumberland",B. Birkenhead and Tranmere,"partial,correct,random"
North Heywood,west,Elland,borders,Norden,near,North Middleton,"North Heywood borders Norden, near to North Middleton, and west of Elland",Which city borders Norden and is also near to North Middleton and west of Elland?,"A. Wyke
B. North Heywood
C. Coldhurst",B. North Heywood,"random,correct,partial"
Hyde Park and Woodhouse,west,Airedale and Ferry Fryston,borders,Kirkstall,near,Middleton Park,"Hyde Park and Woodhouse borders Kirkstall, near to Middleton Park, and west of Airedale and Ferry Fryston",Which city borders Kirkstall and is also near to Middleton Park and west of Airedale and Ferry Fryston?,"A. Horsforth
B. Hoober
C. Hyde Park and Woodhouse",C. Hyde Park and Woodhouse,"partial,random,correct"
Dearne South,west,Edenthorpe,borders,Sprotbrough and Cusworth,near,Mexborough,"Dearne South borders Sprotbrough and Cusworth, near to Mexborough, and west of Edenthorpe",Which city borders Sprotbrough and Cusworth and is also near to Mexborough and west of Edenthorpe?,"A. Hateley Heath
B. Edlington & Warmsworth
C. Dearne South",C. Dearne South,"random,partial,correct"
Middleton Park,west,Garforth and Swillington,borders,Morley West Yorkshire,near,Wrenthorpe and Outwood West,"Middleton Park borders Morley West Yorkshire, near to Wrenthorpe and Outwood West, and west of Garforth and Swillington",Which city borders Morley West Yorkshire and is also near to Wrenthorpe and Outwood West and west of Garforth and Swillington?,"A. Middleton Park
B. Farnley and Wortley
C. Bryn",A. Middleton Park,"correct,partial,random"
Sparkbrook,west,Bablake,borders,Edgbaston,close,Sutton Four Oaks,"Sparkbrook borders Edgbaston, close to Sutton Four Oaks, and west of Bablake",Which city borders Edgbaston and is also close to Sutton Four Oaks and west of Bablake?,"A. Friar Park
B. Royton South
C. Sparkbrook",C. Sparkbrook,"partial,random,correct"
Shard End,west,Chelmsley Wood,borders,Kingshurst and Fordbridge,close,Soho and Victoria,"Shard End borders Kingshurst and Fordbridge, close to Soho and Victoria, and west of Chelmsley Wood",Which city borders Kingshurst and Fordbridge and is also close to Soho and Victoria and west of Chelmsley Wood?,"A. New Brighton
B. Shard End
C. Penn",B. Shard End,"random,correct,partial"
Billesley,west,Radford,borders,Springfield,close,Sutton Four Oaks,"Billesley borders Springfield, close to Sutton Four Oaks, and west of Radford",Which city borders Springfield and is also close to Sutton Four Oaks and west of Radford?,"A. Moss Side
B. Billesley
C. Belle Vale",B. Billesley,"random,correct,partial"
Crosland Moor and Netherton,west,Wingfield,borders,Golcar,close,Manningham,"Crosland Moor and Netherton borders Golcar, close to Manningham, and west of Wingfield",Which city borders Golcar and is also close to Manningham and west of Wingfield?,"A. Almondbury
B. Crosland Moor and Netherton
C. Chapel Allerton",B. Crosland Moor and Netherton,"partial,correct,random"
Failsworth West,west,Almondbury,borders,Miles Platting and Newton Heath,close,St. James',"Failsworth West borders Miles Platting and Newton Heath, close to St. James', and west of Almondbury",Which city borders Miles Platting and Newton Heath and is also close to St. James' and west of Almondbury?,"A. Hulme
B. Duke's
C. Failsworth West",C. Failsworth West,"partial,random,correct"
Gorse Hill,west,Wakefield East,borders,Ordsall,close,North Heywood,"Gorse Hill borders Ordsall, close to North Heywood, and west of Wakefield East",Which city borders Ordsall and is also close to North Heywood and west of Wakefield East?,"A. Barton
B. Firth Park
C. Gorse Hill",C. Gorse Hill,"partial,random,correct"
Bingley Rural,west,Morley West Yorkshire,borders,Thornton and Allerton,close,Birstall and Birkenshaw,"Bingley Rural borders Thornton and Allerton, close to Birstall and Birkenshaw, and west of Morley West Yorkshire",Which city borders Thornton and Allerton and is also close to Birstall and Birkenshaw and west of Morley West Yorkshire?,"A. Bingley Rural
B. Dukinfield Stalybridge
C. Brooklands",A. Bingley Rural,"correct,random,partial"
Wallsend,west,Harton,borders,Hebburn North,close,Washington South,"Wallsend borders Hebburn North, close to Washington South, and west of Harton",Which city borders Hebburn North and is also close to Washington South and west of Harton?,"A. Howdon
B. Whoberley
C. Wallsend",C. Wallsend,"partial,random,correct"
Hopwood Hall,west,Moortown,borders,West Heywood,close,Radcliffe East,"Hopwood Hall borders West Heywood, close to Radcliffe East, and west of Moortown",Which city borders West Heywood and is also close to Radcliffe East and west of Moortown?,"A. Hopwood Hall
B. Otley and Yeadon
C. Milkstone and Deeplish",A. Hopwood Hall,"correct,random,partial"
