place1,dir,place2_Y,top,place2_Z,triplet,question,options,answer,option_sources
Quinton,south,Washington North,within,Birmingham,"Quinton is south Washington North, within Birmingham",Which city lies south to Washington North and within Birmingham?,"A. Springfield
B. Garforth and Swillington
C. Quinton",C. Quinton,"partial,random,correct"
Quinton,west,Longford,borders,Harborne,"Quinton is west Longford, borders Harborne",Which city lies west to Longford and borders Harborne?,"A. Quinton
B. Denton
C. Birkenhead and Tranmere",A. Quinton,"correct,random,partial"
Headingley,north,Hodge Hill,within,Yorkshire and the Humber Euro Region,"Headingley is north Hodge Hill, within Yorkshire and the Humber Euro Region",Which city lies north to Hodge Hill and within Yorkshire and the Humber Euro Region?,"A. Headingley
B. Irwell Riverside
C. Gleadless Valley",A. Headingley,"correct,partial,random"
Headingley,east,Pemberton,borders,Kirkstall,"Headingley is east Pemberton, borders Kirkstall",Which city lies east to Pemberton and borders Kirkstall?,"A. Headingley
B. Newsome
C. Mosborough",A. Headingley,"correct,random,partial"
Wetherby,north,Olton,borders,Harewood,"Wetherby is north Olton, borders Harewood",Which city lies north to Olton and borders Harewood?,"A. Wetherby
B. Wakefield North
C. Hopwood Hall",A. Wetherby,"correct,partial,random"
Unsworth,west,Burmantofts and Richmond Hill,within,Metropolitan Borough of Bury,"Unsworth is west Burmantofts and Richmond Hill, within Metropolitan Borough of Bury",Which city lies west to Burmantofts and Richmond Hill and within Metropolitan Borough of Bury?,"A. Unsworth
B. Worth Valley
C. Northfield",A. Unsworth,"correct,partial,random"
Unsworth,east,Golborne and Lowton West,borders,West Heywood,"Unsworth is east Golborne and Lowton West, borders West Heywood",Which city lies east to Golborne and Lowton West and borders West Heywood?,"A. Crompton
B. Wordsley
C. Unsworth",C. Unsworth,"partial,random,correct"
Binley and Willenhall,south,Langworthy,within,West Midlands Euro Region,"Binley and Willenhall is south Langworthy, within West Midlands Euro Region",Which city lies south to Langworthy and within West Midlands Euro Region?,"A. Northfield
B. Broomhill & Sharrow Vale
C. Binley and Willenhall",C. Binley and Willenhall,"partial,random,correct"
Binley and Willenhall,east,Cheylesmore,borders,Wyken,"Binley and Willenhall is east Cheylesmore, borders Wyken",Which city lies east to Cheylesmore and borders Wyken?,"A. Collingwood
B. Binley and Willenhall
C. Upper Stoke",B. Binley and Willenhall,"random,correct,partial"
Sandhill,north,Brinnington and Central,within,City of Sunderland,"Sandhill is north Brinnington and Central, within City of Sunderland",Which city lies north to Brinnington and Central and within City of Sunderland?,"A. Sandhill
B. North East Euro Region
C. Gipton and Harehills",A. Sandhill,"correct,random,partial"
Sandhill,south,Westoe,borders,Barnes,"Sandhill is south Westoe, borders Barnes",Which city lies south to Westoe and borders Barnes?,"A. St. Thomas's
B. Parr
C. Sandhill",C. Sandhill,"partial,random,correct"
Irlam,west,Longdendale,within,City of Salford,"Irlam is west Longdendale, within City of Salford",Which city lies west to Longdendale and within City of Salford?,"A. Hyde Godley
B. Irlam
C. Leigh West",B. Irlam,"random,correct,partial"
Irlam,east,Heswall,borders,Davyhulme West,"Irlam is east Heswall, borders Davyhulme West",Which city lies east to Heswall and borders Davyhulme West?,"A. Irlam
B. Woodhouse
C. Warley",A. Irlam,"correct,partial,random"
Eccleshill,east,Radcliffe East,within,City of Bradford,"Eccleshill is east Radcliffe East, within City of Bradford",Which city lies east to Radcliffe East and within City of Bradford?,"A. Wyke
B. Hexthorpe & Balby North
C. Eccleshill",C. Eccleshill,"random,partial,correct"
Eccleshill,north,Denton North East,borders,Bradford Moor,"Eccleshill is north Denton North East, borders Bradford Moor",Which city lies north to Denton North East and borders Bradford Moor?,"A. Blackrod
B. Harton
C. Eccleshill",C. Eccleshill,"random,partial,correct"
Langley,south,Silverwood,within,Sandwell,"Langley is south Silverwood, within Sandwell",Which city lies south to Silverwood and within Sandwell?,"A. Armthorpe
B. Wyken
C. Langley",C. Langley,"random,partial,correct"
Langley,west,Knowle,borders,Finstall,"Langley is west Knowle, borders Finstall",Which city lies west to Knowle and borders Finstall?,"A. Church
B. Langley
C. Tividale",B. Langley,"random,correct,partial"
Idle and Thackley,east,Irlam,within,Yorkshire and the Humber Euro Region,"Idle and Thackley is east Irlam, within Yorkshire and the Humber Euro Region",Which city lies east to Irlam and within Yorkshire and the Humber Euro Region?,"A. Idle and Thackley
B. Royds
C. Darton West",A. Idle and Thackley,"correct,random,partial"
Idle and Thackley,north,Little Horton,borders,Horsforth,"Idle and Thackley is north Little Horton, borders Horsforth",Which city lies north to Little Horton and borders Horsforth?,"A. Darton East
B. Idle and Thackley
C. Denton",B. Idle and Thackley,"random,correct,partial"
Wednesfield South,south,Stretford,within,West Midlands Euro Region,"Wednesfield South is south Stretford, within West Midlands Euro Region",Which city lies south to Stretford and within West Midlands Euro Region?,"A. Soho and Victoria
B. Wednesfield South
C. Shevington with Lower Ground",B. Wednesfield South,"partial,correct,random"
Wednesfield South,north,Norton,borders,East Park,"Wednesfield South is north Norton, borders East Park",Which city lies north to Norton and borders East Park?,"A. Willenhall South
B. Wednesfield South
C. Wednesbury North",B. Wednesfield South,"partial,correct,random"
Prescot,west,Spotland and Falinge,borders,St. Michaels,"Prescot is west Spotland and Falinge, borders St. Michaels",Which city lies west to Spotland and Falinge and borders St. Michaels?,"A. Prescot
B. Manor
C. Doxey",A. Prescot,"correct,partial,random"
Smith's Wood,south,Farnworth,borders,Shard End,"Smith's Wood is south Farnworth, borders Shard End",Which city lies south to Farnworth and borders Shard End?,"A. Wickersley
B. Chelmsley Wood
C. Smith's Wood",C. Smith's Wood,"random,partial,correct"
Wednesbury North,east,Bilston North,within,Sandwell,"Wednesbury North is east Bilston North, within Sandwell",Which city lies east to Bilston North and within Sandwell?,"A. Wednesbury North
B. Cadishead
C. St. Pauls",A. Wednesbury North,"correct,random,partial"
Wednesbury North,south,Mexborough,borders,Pleck,"Wednesbury North is south Mexborough, borders Pleck",Which city lies south to Mexborough and borders Pleck?,"A. Wednesbury North
B. Shirley West
C. Mosborough",A. Wednesbury North,"correct,random,partial"
West Middleton,west,Greetland and Stainland,within,Metropolitan Borough of Rochdale,"West Middleton is west Greetland and Stainland, within Metropolitan Borough of Rochdale",Which city lies west to Greetland and Stainland and within Metropolitan Borough of Rochdale?,"A. Alexandra
B. Clatterbridge
C. West Middleton",C. West Middleton,"random,partial,correct"
West Middleton,north,Irwell Riverside,borders,North Middleton,"West Middleton is north Irwell Riverside, borders North Middleton",Which city lies north to Irwell Riverside and borders North Middleton?,"A. Chopwell and Rowlands Gill
B. Walkden South
C. West Middleton",C. West Middleton,"partial,random,correct"
Lyndon,south,Bucklow-St. Martins,within,West Midlands Euro Region,"Lyndon is south Bucklow-St. Martins, within West Midlands Euro Region",Which city lies south to Bucklow-St. Martins and within West Midlands Euro Region?,"A. Spring Vale
B. Lyndon
C. Horsforth",B. Lyndon,"partial,correct,random"
Lyndon,west,Henley,borders,Sheldon,"Lyndon is west Henley, borders Sheldon",Which city lies west to Henley and borders Sheldon?,"A. Knowle
B. Stainforth & Barnby Dun
C. Lyndon",C. Lyndon,"partial,random,correct"
Walkergate,north,Rothwell,within,Newcastle upon Tyne,"Walkergate is north Rothwell, within Newcastle upon Tyne",Which city lies north to Rothwell and within Newcastle upon Tyne?,"A. Walkergate
B. Dinnington St. John's
C. Silksworth",A. Walkergate,"correct,random,partial"
Walkergate,west,Tynemouth,borders,Wallsend,"Walkergate is west Tynemouth, borders Wallsend",Which city lies west to Tynemouth and borders Wallsend?,"A. Walkergate
B. North Jesmond
C. Eccleston St Helens",A. Walkergate,"correct,partial,random"
Bilston East,south,North Jesmond,within,Wolverhampton,"Bilston East is south North Jesmond, within Wolverhampton",Which city lies south to North Jesmond and within Wolverhampton?,"A. Norden
B. Bilston East
C. Willenhall South",B. Bilston East,"random,correct,partial"
Bilston East,west,Wednesbury South,borders,Spring Vale,"Bilston East is west Wednesbury South, borders Spring Vale",Which city lies west to Wednesbury South and borders Spring Vale?,"A. Dunston Hill and Whickham East
B. Bilston East
C. Great Bridge",B. Bilston East,"random,correct,partial"
Craven,north,Sutton Vesey,within,City of Bradford,"Craven is north Sutton Vesey, within City of Bradford",Which city lies north to Sutton Vesey and within City of Bradford?,"A. Bromley Cross
B. Church
C. Craven",C. Craven,"random,partial,correct"
Craven,east,Eccleston St Helens,borders,Keighley,"Craven is east Eccleston St Helens, borders Keighley",Which city lies east to Eccleston St Helens and borders Keighley?,"A. Little Hulton
B. Halewood
C. Craven",C. Craven,"partial,random,correct"
Wombwell,east,Harington,within,Metropolitan Borough of Barnsley,"Wombwell is east Harington, within Metropolitan Borough of Barnsley",Which city lies east to Harington and within Metropolitan Borough of Barnsley?,"A. Besses
B. Metropolitan Borough of Knowsley
C. Wombwell",C. Wombwell,"partial,random,correct"
Wombwell,west,Hexthorpe & Balby North,borders,Worsbrough,"Wombwell is west Hexthorpe & Balby North, borders Worsbrough",Which city lies west to Hexthorpe & Balby North and borders Worsbrough?,"A. Pemberton
B. Penistone
C. Wombwell",C. Wombwell,"random,partial,correct"
Battle Hill,north,West Heywood,within,North East Euro Region,"Battle Hill is north West Heywood, within North East Euro Region",Which city lies north to West Heywood and within North East Euro Region?,"A. Walkergate
B. Battle Hill
C. Fazakerley",B. Battle Hill,"partial,correct,random"
Battle Hill,east,South Heaton,borders,Chirton,"Battle Hill is east South Heaton, borders Chirton",Which city lies east to South Heaton and borders Chirton?,"A. Meols
B. Battle Hill
C. Whitley Bay",B. Battle Hill,"random,correct,partial"
Pilkington Park,west,Town,within,Metropolitan Borough of Bury,"Pilkington Park is west Town, within Metropolitan Borough of Bury",Which city lies west to Town and within Metropolitan Borough of Bury?,"A. Pilkington Park
B. Langworthy
C. Walkden South",A. Pilkington Park,"correct,partial,random"
Pilkington Park,south,Woolsington,borders,Radcliffe West,"Pilkington Park is south Woolsington, borders Radcliffe West",Which city lies south to Woolsington and borders Radcliffe West?,"A. Castle Bromwich
B. Old Warley
C. Pilkington Park",C. Pilkington Park,"random,partial,correct"
Washington West,north,Royston,within,City of Sunderland,"Washington West is north Royston, within City of Sunderland",Which city lies north to Royston and within City of Sunderland?,"A. Washington West
B. Walker
C. Baildon",A. Washington West,"correct,partial,random"
Washington West,south,Camperdown,borders,Windy Nook and Whitehills,"Washington West is south Camperdown, borders Windy Nook and Whitehills",Which city lies south to Camperdown and borders Windy Nook and Whitehills?,"A. Stockland Green
B. Washington West
C. Whoberley",B. Washington West,"partial,correct,random"
Alexandra,south,Pelaw and Heworth,within,Metropolitan Borough of Oldham,"Alexandra is south Pelaw and Heworth, within Metropolitan Borough of Oldham",Which city lies south to Pelaw and Heworth and within Metropolitan Borough of Oldham?,"A. Metropolitan Borough of Doncaster
B. Ordsall
C. Alexandra",C. Alexandra,"random,partial,correct"
Alexandra,west,Darfield,borders,St. Mary's,"Alexandra is west Darfield, borders St. Mary's",Which city lies west to Darfield and borders St. Mary's?,"A. Didsbury West
B. Alexandra
C. Wavertree",B. Alexandra,"random,correct,partial"
Weetwood,north,Crofton Ryhill and Walton,within,County Borough of Leeds,"Weetwood is north Crofton Ryhill and Walton, within County Borough of Leeds",Which city lies north to Crofton Ryhill and Walton and within County Borough of Leeds?,"A. Fallowfield
B. Weetwood
C. Wakefield North",B. Weetwood,"random,correct,partial"
Weetwood,east,Bingley,borders,Horsforth,"Weetwood is east Bingley, borders Horsforth",Which city lies east to Bingley and borders Horsforth?,"A. Norton & Askern
B. Dunston and Teams
C. Weetwood",C. Weetwood,"partial,random,correct"
Spring Vale,south,Wibsey,within,West Midlands Euro Region,"Spring Vale is south Wibsey, within West Midlands Euro Region",Which city lies south to Wibsey and within West Midlands Euro Region?,"A. Spring Vale
B. Binley and Willenhall
C. Bickenhill",A. Spring Vale,"correct,partial,random"
Spring Vale,west,West Bromwich Central,borders,Ettingshall,"Spring Vale is west West Bromwich Central, borders Ettingshall",Which city lies west to West Bromwich Central and borders Ettingshall?,"A. Blakenhall
B. Spring Vale
C. Picton Cheshire",B. Spring Vale,"partial,correct,random"
Saddleworth North,east,Astley Village,within,Metropolitan Borough of Oldham,"Saddleworth North is east Astley Village, within Metropolitan Borough of Oldham",Which city lies east to Astley Village and within Metropolitan Borough of Oldham?,"A. Ryburn
B. Blackheath
C. Saddleworth North",C. Saddleworth North,"partial,random,correct"
Saddleworth North,south,Southwick,borders,Saddleworth,"Saddleworth North is south Southwick, borders Saddleworth",Which city lies south to Southwick and borders Saddleworth?,"A. Saddleworth North
B. Shirley West
C. Birkdale",A. Saddleworth North,"correct,partial,random"
Morley South,east,Saddleworth West and Lees,within,County Borough of Leeds,"Morley South is east Saddleworth West and Lees, within County Borough of Leeds",Which city lies east to Saddleworth West and Lees and within County Borough of Leeds?,"A. Morley South
B. Bentley
C. Litherland",A. Morley South,"correct,partial,random"
